EmpID,first name,last name,Age,Gender,Department,NumCoffee_Pw,NumLinesCode_Pw
176973954-33,Dominic,Jones,38,Female,Data Science Campus,8,381
176973904-18,Jennifer,Benson,44,Female,Methodology and Quality,10.6,452
176972487-35,Diane,Burger,52,Male,Methodology and Quality,6.3,326
176972983-74,Johnathan,Brookens,44,Male,Data Science Campus,9.2,460
176971891-85,Christopher,Miller,37,Female,People and Business Services,4.3,293
176971041-63,Betty,Sheikh,44,Male,Data Science Campus,5.8,380
176971479-41,Marilyn,Mitchell,56,Other,People and Business Services,5.4,312
176973696-90,Keith,Lewis,51,Other,Health Population and Methods Transformation,1.9,871
176973267-56,Beatrice,Miller,41,Male,People and Business Services,5.8,303
176973585-68,Timothy,Ferguson,20,Female,Data Science Campus,13.8,693
176971357-81,Mike,Blakeslee,61,Other,Data Science Campus,11.9,471
176973956-78,Elenor,Ghaemmaghami,23,Male,Data Science Campus,4.8,419
176972937-72,Jon,Chaffin,57,Other,Data Growth and Operations,3.4,104
176972947-28,Buford,Damelio,61,Male,Methodology and Quality,8.8,273
176973736-17,David,Case,30,Female,Methodology and Quality,4.8,401
176971445-71,David,Smith,44,Male,Data Growth and Operations,1.1,93
176973352-42,Andria,Comstock,22,Female,Economic Statistics Change,7.8,514
176973744-80,Bobbie,Banks,50,Other,Economic Statistics Change,12.5,476
176972130-76,Marie,Palmer,36,Other,People and Business Services,1,285
176972957-44,Larry,Merrill,44,Other,Economic Statistics Change,10.5,615
176971233-84,Kevin,Gilmore,36,Female,Data Science Campus,6.8,615
176971638-71,Don,Simmons,37,Male,Data Science Campus,5,510
176973800-50,Christopher,Naz,33,Other,Data Growth and Operations,2.4,115
176972213-70,Matthew,Knight,45,Female,Health Population and Methods Transformation,4.7,770
176971893-40,Evelyn,Goularte,167,Female,Methodology and Quality,9.2,444
176972567-20,John,Williams,19,Other,Health Population and Methods Transformation,3.9,886
176973879-44,Armando,Vinson,54,Other,Health Population and Methods Transformation,4.8,872
176972149-29,Michael,Richardson,52,Male,Data Science Campus,5.3,388
176971657-38,Lori,Worthington,35,Female,People and Business Services,1.6,293
176971324-47,Debbie,Gardner,41,Female,Data Growth and Operations,3.9,99
176973524-45,John,Smith,52,Other,Methodology and Quality,5.5,490
176972210-43,Sharon,Ladd,35,Male,Data Growth and Operations,4.7,109
