EmpID,first name,last name,age,Gender,Department,NumCoffee_Pw,NumLinesCode_Pw
176973766-46,Jean,Dickerson,19,Male,Surveys,2.1,197
176971984-25,Arnold,Lemon,40,Female,Surveys,8.9,195
176971080-69,Manuel,Wiater,57,Male,Surveys,8.6,237
176971844-15,Doris,Martinez,37,Other,Surveys,6.4,206
176972782-75,Matthew,Kim,18,Other,Surveys,5.6,203
176973198-84,Franklin,Mcnutt,23,Other,Surveys,5.4,201
176971681-08,James,Kilgore,26,Female,Surveys,4,204
176973140-45,Mary,Cataline,31,Male,Surveys,1.7,189
176972791-35,Frank,Drury,41,Male,Surveys,4.2,161
176972175-38,Beatrice,Smith,61,Male,Surveys,5.2,204
